customer_id,age,gender,location,registration_date,customer_segment,total_orders,total_spent,avg_order_value,last_purchase_date,churn_risk
C000116,51,Female,Michigan,2023-07-04,Occasional,6,1307.2,217.87,2024-05-27,High
C000117,64,Female,California,2023-01-20,Premium,5,1206.69,241.34,2023-09-15,Medium
C000118,48,Female,Texas,2024-09-13,Premium,2,174.94,87.47,2025-01-30,Medium
C000119,27,Male,Michigan,2024-09-07,Occasional,3,1176.14,392.05,2024-12-31,High
C000120,28,Female,Georgia,2023-09-28,Occasional,4,719.04,179.76,2024-12-08,High
C000121,32,Female,Ohio,2023-03-12,Premium,5,884.67,176.93,2025-02-26,Low
C000122,30,Female,Texas,2023-01-17,Occasional,3,742.36,247.45,2024-01-13,Low
C000123,48,Male,North Carolina,2023-07-01,Occasional,4,1309.92,327.48,2023-10-31,Low
C000124,48,Male,Michigan,2023-04-06,Occasional,4,702.39,175.6,2025-01-10,Low
C000125,59,Female,North Carolina,2024-11-25,Regular,3,464.89,154.96,2025-02-13,Medium
C000126,62,Female,Florida,2023-02-14,Regular,5,1002.07,200.41,2025-04-13,Medium
C000127,55,Male,Ohio,2023-12-25,Premium,0,0.0,0.0,,Medium
C000128,67,Male,California,2024-05-03,Regular,2,1034.2,517.1,2025-05-21,High
C000129,44,Female,Florida,2024-07-10,Premium,1,52.08,52.08,2025-02-06,High
C000130,54,Male,North Carolina,2023-01-08,Premium,6,1357.45,226.24,2025-07-15,Medium
C000131,31,Female,Ohio,2024-11-01,Regular,1,652.37,652.37,2025-05-17,Low
C000132,45,Female,Illinois,2023-06-08,Occasional,5,1639.64,327.93,2024-09-30,Medium
C000133,41,Female,Ohio,2024-08-01,Premium,1,90.1,90.1,2024-12-03,Medium
C000134,68,Female,Texas,2024-07-19,Regular,1,33.49,33.49,2024-12-11,High
C000135,48,Female,Illinois,2024-07-22,Occasional,3,240.04,80.01,2024-11-04,Medium
C000136,43,Male,California,2024-12-23,Occasional,1,460.03,460.03,2025-04-11,Low
C000137,68,Male,California,2024-04-02,Premium,4,427.64,106.91,2025-06-01,High
C000138,68,Female,North Carolina,2024-02-15,Occasional,2,277.7,138.85,2025-07-30,High
C000139,63,Male,Texas,2024-12-01,Regular,2,62.06,31.03,2025-04-04,High
C000140,69,Male,Texas,2023-01-06,Regular,5,1120.02,224.0,2024-03-20,High
C000141,23,Male,Illinois,2024-03-21,Premium,5,892.38,178.48,2024-04-03,Medium
C000142,56,Male,Ohio,2023-03-23,Regular,4,598.53,149.63,2025-05-02,High
C000143,51,Female,Michigan,2024-11-02,Premium,1,264.15,264.15,2025-04-30,Low
C000144,49,Female,New York,2024-10-17,Premium,0,0.0,0.0,,High
C000145,36,Male,New York,2024-06-14,Occasional,2,474.44,237.22,2024-10-22,High
C000146,62,Male,Michigan,2024-06-12,Premium,2,639.65,319.82,2025-03-01,High
C000147,41,Male,New York,2023-02-06,Premium,4,498.91,124.73,2023-07-06,Low
C000148,67,Female,Pennsylvania,2023-10-10,Occasional,5,1666.45,333.29,2024-07-27,Medium
C000149,55,Male,North Carolina,2024-02-20,Premium,5,1054.23,210.85,2025-07-04,High
C000150,22,Male,North Carolina,2024-12-21,Regular,2,510.45,255.22,2025-01-24,High
C000151,55,Female,Pennsylvania,2024-07-26,Regular,2,359.28,179.64,2025-05-24,Low
C000152,30,Female,Ohio,2024-09-12,Occasional,0,0.0,0.0,,Low
C000153,29,Female,North Carolina,2023-09-25,Premium,6,1481.38,246.9,2024-01-23,High
C000154,50,Female,Pennsylvania,2023-03-16,Premium,2,252.17,126.09,2023-10-28,High
C000155,52,Female,Georgia,2023-09-21,Regular,3,164.68,54.89,2024-09-28,High
C000156,67,Male,Pennsylvania,2024-05-10,Regular,1,369.53,369.53,2024-11-01,High
C000157,55,Male,Georgia,2024-04-16,Premium,1,227.1,227.1,2024-06-12,Medium
C000158,42,Male,Florida,2023-03-11,Regular,9,1551.06,172.34,2025-07-08,Medium
C000159,51,Male,Illinois,2023-12-28,Premium,1,139.03,139.03,2025-04-25,Medium
C000160,43,Female,California,2023-04-06,Occasional,2,734.36,367.18,2024-01-28,Low
C000161,38,Female,Florida,2024-05-02,Occasional,1,882.43,882.43,2024-12-20,Medium
C000162,65,Male,Georgia,2023-07-07,Occasional,6,1362.89,227.15,2023-07-16,Low
C000163,65,Male,Illinois,2023-08-29,Premium,1,454.5,454.5,2023-12-02,Low
C000164,33,Female,Texas,2023-07-27,Premium,6,1051.31,175.22,2024-11-07,Low
C000165,61,Female,Michigan,2023-03-22,Premium,10,1991.7,199.17,2025-03-26,High
C000166,48,Female,Michigan,2023-02-13,Regular,6,1376.33,229.39,2025-04-03,Medium
C000167,35,Female,Texas,2024-08-11,Occasional,1,435.14,435.14,2025-01-31,Medium
C000168,32,Male,New York,2024-02-12,Occasional,5,2354.28,470.86,2024-12-08,Medium
C000169,52,Male,North Carolina,2024-05-04,Regular,3,684.85,228.28,2024-07-17,Medium
C000170,67,Male,Georgia,2024-12-03,Premium,3,528.87,176.29,2025-01-19,High
C000171,47,Female,New York,2024-06-14,Premium,3,1174.07,391.36,2024-12-11,High
C000172,42,Male,Pennsylvania,2023-08-04,Regular,2,961.69,480.85,2023-10-26,High
C000173,29,Female,Florida,2023-09-23,Regular,5,947.72,189.54,2024-06-18,Medium
C000174,39,Female,Texas,2024-09-19,Regular,1,295.55,295.55,2024-10-06,Medium
C000175,44,Female,Pennsylvania,2023-08-04,Regular,2,164.07,82.04,2025-07-02,Medium
C000176,29,Male,Michigan,2024-04-06,Occasional,0,0.0,0.0,,Low
C000177,64,Female,Florida,2023-04-13,Occasional,7,750.19,107.17,2025-04-26,Medium
C000178,30,Male,Texas,2024-01-26,Regular,5,1653.33,330.67,2024-05-05,Low
C000179,44,Female,Texas,2023-06-30,Occasional,5,1756.72,351.34,2023-10-21,High
C000180,64,Female,Georgia,2024-06-30,Regular,2,172.73,86.37,2024-12-09,Medium
C000181,54,Male,Ohio,2024-07-29,Premium,3,405.28,135.09,2025-01-31,High
C000182,21,Male,Illinois,2023-06-17,Regular,2,1234.97,617.48,2025-04-12,High
C000183,46,Female,Illinois,2023-04-09,Regular,6,1219.67,203.28,2024-07-10,Medium
C000184,53,Female,Pennsylvania,2024-07-27,Premium,1,786.67,786.67,2024-08-06,Medium
C000185,40,Male,Michigan,2023-05-05,Occasional,10,2305.0,230.5,2025-04-06,High
C000186,52,Male,Illinois,2024-10-26,Regular,3,895.71,298.57,2025-05-08,Medium
C000187,50,Female,Georgia,2024-11-20,Premium,0,0.0,0.0,,Medium
C000188,36,Female,Texas,2024-09-20,Premium,1,181.44,181.44,2025-04-22,High
C000189,44,Female,California,2023-12-12,Premium,3,481.0,160.33,2024-02-04,Low
C000190,32,Female,Pennsylvania,2023-12-18,Occasional,1,294.28,294.28,2025-01-12,Medium
C000191,35,Female,Illinois,2024-12-28,Regular,2,1364.78,682.39,2025-07-15,Medium
C000192,51,Female,Ohio,2024-08-24,Premium,0,0.0,0.0,,Low
C000193,26,Male,Illinois,2023-01-24,Occasional,3,976.97,325.66,2023-06-26,High
C000194,31,Male,Ohio,2023-03-23,Premium,6,1015.83,169.31,2025-07-28,Low
C000195,48,Male,New York,2023-03-07,Regular,6,2551.69,425.28,2023-10-04,High
C000196,24,Female,Michigan,2023-03-27,Premium,3,763.51,254.5,2025-04-04,Low
C000197,42,Female,Florida,2024-11-01,Premium,0,0.0,0.0,,High
C000198,46,Male,Texas,2023-10-18,Occasional,2,372.11,186.06,2025-03-19,Low
C000199,20,Female,Pennsylvania,2023-01-30,Regular,7,5963.91,851.99,2024-06-09,Medium
C000200,35,Female,Texas,2024-07-07,Occasional,1,266.11,266.11,2024-11-14,High
C000201,55,Female,Michigan,2023-07-01,Regular,7,815.51,116.5,2024-07-09,High
C000202,58,Female,Pennsylvania,2024-10-17,Regular,2,187.51,93.76,2024-11-06,High
C000203,69,Male,Georgia,2023-08-21,Regular,8,2160.51,270.06,2024-04-21,Medium
C000204,34,Male,Illinois,2024-02-27,Premium,1,8.05,8.05,2024-04-18,Low
C000205,70,Male,Pennsylvania,2024-06-19,Regular,5,1525.34,305.07,2025-08-18,Medium
C000206,18,Female,Georgia,2024-07-01,Regular,1,779.58,779.58,2025-07-12,Low
C000207,69,Female,Michigan,2024-03-16,Premium,6,1124.08,187.35,2025-02-09,Low
C000208,41,Male,Ohio,2024-07-15,Occasional,2,419.54,209.77,2024-12-31,Medium
C000209,33,Male,Ohio,2024-02-09,Regular,4,713.2,178.3,2025-03-17,Low
C000210,23,Female,Florida,2023-09-27,Occasional,5,740.82,148.16,2024-02-01,High
C000211,61,Female,Illinois,2024-12-11,Occasional,2,559.87,279.94,2025-05-22,High
C000212,69,Female,Ohio,2024-06-28,Premium,3,437.85,145.95,2025-05-27,Low
C000213,26,Female,California,2023-07-06,Occasional,5,1816.24,363.25,2024-04-08,Medium
C000214,46,Female,Michigan,2024-09-24,Regular,1,366.53,366.53,2025-06-16,Low
C000215,19,Male,New York,2023-11-25,Occasional,4,954.6,238.65,2025-02-24,Low
C000216,24,Female,Illinois,2023-07-10,Premium,4,857.03,214.26,2025-01-10,High
C000217,64,Male,Florida,2024-03-24,Premium,5,1016.95,203.39,2024-08-20,Low
C000218,49,Male,Pennsylvania,2023-01-16,Regular,8,2166.6,270.83,2024-03-18,Medium
C000219,41,Female,New York,2024-05-25,Regular,6,2014.56,335.76,2025-08-18,Low
C000220,21,Female,Ohio,2023-05-30,Premium,3,954.17,318.06,2023-10-30,High
C000221,29,Male,Illinois,2024-04-26,Regular,2,506.48,253.24,2025-06-03,Low
C000222,67,Male,Ohio,2023-05-05,Regular,6,1646.88,274.48,2024-03-20,Low
C000223,30,Female,California,2023-02-04,Occasional,7,837.37,119.62,2024-04-16,High
C000224,48,Female,Illinois,2023-08-02,Regular,8,2071.42,258.93,2025-02-13,Low
C000225,64,Male,North Carolina,2024-10-06,Occasional,1,306.36,306.36,2025-06-28,Low
C000226,48,Female,Florida,2023-09-17,Regular,4,916.92,229.23,2023-10-15,Low
C000227,31,Male,Florida,2024-11-13,Occasional,1,15.7,15.7,2025-05-27,Medium
C000228,18,Male,Illinois,2023-11-29,Occasional,4,976.17,244.04,2024-10-25,Low
C000229,68,Male,New York,2024-02-10,Premium,2,514.71,257.36,2025-03-10,High
C000230,48,Male,Pennsylvania,2024-12-08,Premium,3,844.93,281.64,2025-03-11,Low
C000231,49,Male,Michigan,2023-06-11,Regular,7,2854.25,407.75,2025-04-28,High
C000232,21,Female,Texas,2023-03-03,Occasional,6,1624.52,270.75,2024-03-27,High
C000233,26,Female,Florida,2023-04-20,Regular,2,315.23,157.61,2024-11-29,High
C000234,66,Female,Georgia,2024-10-22,Occasional,2,911.41,455.7,2024-12-07,Low
C000235,62,Female,Pennsylvania,2023-01-22,Occasional,11,6602.22,600.2,2024-04-03,Low
C000236,20,Female,Georgia,2023-09-14,Occasional,5,1574.08,314.82,2023-10-10,Medium
C000237,62,Female,Florida,2024-07-09,Occasional,3,361.07,120.36,2025-03-22,Low
C000238,40,Female,Georgia,2024-07-10,Regular,0,0.0,0.0,,High
C000239,28,Male,North Carolina,2024-07-21,Premium,4,262.37,65.59,2024-07-29,Medium
C000240,70,Female,North Carolina,2023-10-30,Regular,3,1315.07,438.36,2024-11-02,Medium
C000241,67,Female,Texas,2023-01-01,Premium,4,921.53,230.38,2024-08-20,High
C000242,67,Male,Pennsylvania,2024-01-08,Occasional,5,715.65,143.13,2024-06-07,Low
C000243,52,Female,Florida,2024-11-05,Occasional,1,294.19,294.19,2025-04-18,High
C000244,67,Male,Michigan,2024-05-24,Regular,3,468.8,156.27,2025-08-12,Medium
C000245,59,Female,California,2024-02-24,Premium,6,1108.33,184.72,2025-05-19,High
C000246,22,Male,Texas,2024-11-05,Premium,5,2380.31,476.06,2025-08-19,Low
C000247,24,Female,Florida,2023-07-26,Premium,4,567.1,141.78,2023-08-14,Low
C000248,59,Female,Georgia,2024-08-07,Occasional,3,2327.14,775.71,2024-10-17,High
C000249,55,Female,New York,2024-12-19,Regular,0,0.0,0.0,,Low
C000250,63,Male,New York,2024-09-12,Premium,0,0.0,0.0,,High
C000251,23,Female,New York,2024-05-18,Regular,2,733.42,366.71,2025-01-12,High
C000252,70,Female,New York,2024-03-01,Occasional,3,304.8,101.6,2024-03-26,Medium
C000253,20,Male,Illinois,2024-06-25,Premium,6,2816.48,469.41,2024-07-22,Low
C000254,24,Male,Florida,2024-06-15,Occasional,1,54.02,54.02,2025-06-12,Medium
C000255,30,Male,Michigan,2023-07-14,Occasional,6,1988.82,331.47,2025-05-29,Low
C000256,65,Female,California,2024-07-25,Occasional,1,59.51,59.51,2025-05-16,High
C000257,61,Female,Ohio,2024-01-02,Premium,2,206.42,103.21,2025-01-16,Low
C000258,53,Female,North Carolina,2023-07-04,Regular,3,996.05,332.02,2024-04-11,High
C000259,52,Female,Pennsylvania,2023-06-11,Regular,6,1471.28,245.21,2023-09-04,High
C000260,41,Female,Ohio,2023-11-29,Occasional,7,1562.35,223.19,2024-01-06,Medium
C000261,33,Male,Ohio,2024-09-15,Occasional,3,1329.52,443.17,2024-12-07,High
C000262,41,Female,Georgia,2023-09-18,Regular,2,2880.94,1440.47,2024-10-08,Low
C000263,36,Male,North Carolina,2023-02-05,Premium,4,463.31,115.83,2025-03-21,Medium
C000264,37,Male,Florida,2023-01-07,Regular,5,703.34,140.67,2025-03-25,Low
C000265,70,Female,North Carolina,2024-12-07,Occasional,1,236.94,236.94,2025-03-19,High
C000266,54,Male,California,2024-08-07,Premium,4,660.13,165.03,2024-10-24,Medium
C000267,27,Male,Illinois,2023-12-31,Regular,2,96.91,48.45,2024-09-22,High
C000268,32,Female,Illinois,2023-09-13,Premium,3,508.21,169.4,2025-01-02,High
C000269,54,Male,California,2024-02-14,Occasional,4,697.93,174.48,2025-05-11,Medium
C000270,29,Female,Michigan,2024-05-09,Premium,3,1743.67,581.22,2024-08-12,High
C000271,37,Male,Michigan,2024-10-19,Regular,1,45.73,45.73,2025-03-08,Low
C000272,67,Female,Pennsylvania,2023-02-27,Regular,5,909.95,181.99,2025-07-12,Medium
C000273,67,Male,Michigan,2023-05-04,Premium,6,1566.66,261.11,2024-05-12,High
C000274,42,Male,Illinois,2024-10-09,Occasional,1,197.21,197.21,2025-01-24,Low
C000275,52,Male,Pennsylvania,2023-11-23,Occasional,3,915.33,305.11,2024-06-21,High
C000276,27,Male,Ohio,2023-08-15,Regular,5,1140.88,228.18,2025-04-26,High
C000277,50,Male,Florida,2024-08-12,Regular,3,379.23,126.41,2024-08-19,Medium
C000278,27,Male,Pennsylvania,2024-02-08,Premium,3,314.03,104.68,2025-03-25,Medium
C000279,65,Male,North Carolina,2024-08-08,Regular,4,879.04,219.76,2024-12-16,Medium
C000280,43,Female,Texas,2023-03-29,Premium,7,1566.08,223.73,2024-03-28,Medium
C000281,30,Female,Ohio,2024-07-26,Occasional,1,48.11,48.11,2024-09-26,High
C000282,53,Male,Florida,2023-07-20,Premium,4,1300.89,325.22,2024-10-24,Medium
C000283,38,Male,California,2024-03-16,Occasional,4,1798.21,449.55,2025-04-20,Medium
C000284,41,Female,Florida,2024-03-09,Regular,5,1367.12,273.42,2024-09-09,Medium
C000285,59,Male,Illinois,2024-08-31,Premium,1,138.22,138.22,2025-05-13,Medium
C000286,70,Female,Michigan,2024-09-23,Premium,1,95.04,95.04,2025-04-23,Medium
C000287,70,Male,Florida,2023-02-15,Occasional,10,2148.88,214.89,2025-01-09,Medium
C000288,66,Male,California,2023-06-09,Occasional,4,1100.04,275.01,2023-11-24,Low
C000289,57,Male,Illinois,2023-09-06,Premium,3,326.79,108.93,2023-10-24,Medium
C000290,69,Male,Illinois,2024-12-11,Regular,0,0.0,0.0,,Medium
C000291,39,Male,North Carolina,2023-01-24,Premium,2,280.25,140.12,2024-05-29,Low
C000292,51,Female,North Carolina,2024-07-13,Regular,4,738.33,184.58,2024-11-13,High
C000293,62,Male,Ohio,2023-05-25,Occasional,6,1471.81,245.3,2023-05-27,High
C000294,20,Female,Texas,2024-06-23,Premium,2,125.8,62.9,2025-02-13,Medium
C000295,68,Female,New York,2023-07-25,Regular,3,941.1,313.7,2025-05-09,High
C000296,22,Female,Illinois,2023-01-09,Occasional,5,1603.75,320.75,2024-06-25,High
C000297,24,Male,Illinois,2024-01-04,Occasional,2,253.29,126.64,2024-03-09,Medium
C000298,42,Male,Pennsylvania,2023-08-25,Regular,6,989.19,164.87,2024-01-21,High
C000299,23,Male,Florida,2024-06-28,Occasional,3,373.19,124.4,2024-07-31,Medium
C000300,63,Male,New York,2024-07-28,Premium,5,827.05,165.41,2024-10-25,High
C000301,39,Female,Ohio,2023-11-09,Occasional,3,678.68,226.23,2023-11-26,Low
C000302,40,Female,Pennsylvania,2023-01-19,Occasional,5,515.02,103.0,2025-06-08,Medium
C000303,50,Female,New York,2023-08-30,Occasional,7,1271.52,181.65,2024-01-10,Medium
C000304,70,Male,North Carolina,2024-02-01,Regular,1,1089.81,1089.81,2024-09-24,Low
C000305,39,Female,Texas,2023-06-05,Premium,4,340.16,85.04,2024-07-30,High
C000306,51,Male,Ohio,2024-01-27,Premium,7,1799.16,257.02,2024-04-13,High
C000307,45,Female,Michigan,2023-06-06,Regular,6,1412.61,235.43,2025-08-17,Medium
C000308,26,Male,Texas,2024-07-09,Occasional,3,698.76,232.92,2025-07-05,High
